,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Mortalidade_Infantil,Despesas_empenhadas,PIB,Código IBGE,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,DRS
0,ADAMANTINA,411.987,35111,82.15,11.63,13.708.366.993,30962.66,3500105,0,0,ADAMANTINA,ADAMANTINA,DRS 09 Marília
1,ADOLFO,211.055,3554,16.85,19.23,2.010.387.713,25867.75,3500204,1,1,ADOLFO,ADOLFO,DRS 15 São José do Rio Preto
2,AGUAÍ,474.554,36648,67.72,16.06,7.216.873.408,28041.03,3500303,2,2,AGUAÍ,AGUAI,DRS 14 São João da Boa Vista
3,ÁGUAS DA PRATA,142.673,8221,53.05,25.32,2.436.340.149,20683.88,3500402,3,637,ÁGUAS DA PRATA,AGUAS DA PRATA,DRS 14 São João da Boa Vista
4,ÁGUAS DE LINDÓIA,60.126,18808,287.16,8.37,7.520.147.793,26427.34,3500501,4,638,ÁGUAS DE LINDÓIA,AGUAS DE LINDOIA,DRS 07 Campinas
5,ÁGUAS DE SANTA BÁRBARA,404.463,6109,13.83,23.26,2.847.194.804,27620.94,3500550,5,639,ÁGUAS DE SANTA BÁRBARA,AGUAS DE SANTA BARBARA,DRS 06 Bauru
6,ÁGUAS DE SÃO PEDRO,3.612,3521,488.89,38.46,2.270.999.284,40220.9,3500600,6,640,ÁGUAS DE SÃO PEDRO,AGUAS DE SAO PEDRO,DRS 10 Piracicaba
7,AGUDOS,966.708,37401,35.73,12.13,14.341.768.289,59513.01,3500709,7,3,AGUDOS,AGUDOS,DRS 06 Bauru
8,ALAMBARI,159.600,6129,30.66,25.00,2.183.901.214,16981.63,3500758,8,4,ALAMBARI,ALAMBARI,DRS 16 Sorocaba
9,ALFREDO MARCONDES,118.915,4184,32.86,20.83,1.511.197.897,20104.35,3500808,9,5,ALFREDO MARCONDES,ALFREDO MARCONDES,DRS 11 Presidente Prudente
10,ALTAIR,313.007,4186,12.16,20.41,1.941.076.045,25842.48,3500907,10,6,ALTAIR,ALTAIR,DRS 05 Barretos
11,ALTINÓPOLIS,928.956,16203,16.8,16.39,5.543.605.472,30792.08,3501004,11,7,ALTINÓPOLIS,ALTINOPOLIS,DRS 13 Ribeirão Preto
12,ALTO ALEGRE,318.574,4088,12.86,33.33,1.823.622.271,26207.29,3501103,12,8,ALTO ALEGRE,ALTO ALEGRE,DRS 02 Araçatuba
13,ALUMÍNIO,83.660,18767,201.28,20.33,7.257.258.372,113887.93,3501152,13,9,ALUMÍNIO,ALUMINIO,DRS 16 Sorocaba
14,ÁLVARES FLORENCE,362.411,3647,10.74,26.32,1.824.110.731,32245.7,3501202,14,641,ÁLVARES FLORENCE,ALVARES FLORENCE,DRS 15 São José do Rio Preto
15,ÁLVARES MACHADO,347.647,24998,67.69,18.13,602.969.844,21374.06,3501301,15,642,ÁLVARES MACHADO,ALVARES MACHADO,DRS 11 Presidente Prudente
16,ÁLVARO DE CARVALHO,153.662,5274,30.36,17.54,1.644.113.972,9632.45,3501400,16,643,ÁLVARO DE CARVALHO,ALVARO DE CARVALHO,DRS 09 Marília
17,ALVINLÂNDIA,84.879,3237,35.38,21.74,1.294.054.398,16190.38,3501509,17,10,ALVINLÂNDIA,ALVINLANDIA,DRS 09 Marília
18,AMERICANA,133.912,242018,1572.75,7.47,7.097.438.111,47793.48,3501608,18,11,AMERICANA,AMERICANA,DRS 07 Campinas
19,AMÉRICO BRASILIENSE,122.958,41032,280.91,16.00,10.079.916.438,24008.7,3501707,19,13,AMÉRICO BRASILIENSE,AMERICO BRASILIENSE,DRS 03 Araraquara
20,AMÉRICO DE CAMPOS,252.876,5981,22.54,19.61,2.140.683.023,19767.04,3501806,20,14,AMÉRICO DE CAMPOS,AMERICO DE CAMPOS,DRS 15 São José do Rio Preto
21,AMPARO,445.323,72677,147.75,5.65,24.072.795.422,64804.88,3501905,21,12,AMPARO,AMPARO,DRS 07 Campinas
22,ANALÂNDIA,325.953,5056,13.18,21.28,309.675.513,37298.53,3502002,22,15,ANALÂNDIA,ANALANDIA,DRS 10 Piracicaba
23,ANDRADINA,964.226,57202,57.39,13.35,14.735.321.707,33661.69,3502101,23,16,ANDRADINA,ANDRADINA,DRS 02 Araçatuba
24,ANGATUBA,1.027.288,25479,21.61,6.31,6.630.615.913,40386.56,3502200,24,17,ANGATUBA,ANGATUBA,DRS 16 Sorocaba
25,ANHEMBI,736.557,6819,7.67,14.08,2.990.798.478,27144.44,3502309,25,18,ANHEMBI,ANHEMBI,DRS 06 Bauru
26,ANHUMAS,320.840,4144,11.66,33.33,1.761.483.672,18317.06,3502408,26,19,ANHUMAS,ANHUMAS,DRS 11 Presidente Prudente
27,APARECIDA,120.890,36185,289.13,6.25,9.827.114.272,29969.65,3502507,27,20,APARECIDA,APARECIDA,DRS 17 Taubaté
28,APARECIDA D'OESTE,179.004,4158,24.86,21.74,1.774.429.241,30365.95,3502606,28,21,APARECIDA D'OESTE,APARECIDA D'OESTE,DRS 15 São José do Rio Preto
29,APIAÍ,974.322,24226,25.85,16.67,650.666.608,24247.23,3502705,29,22,APIAÍ,APIAI,DRS 16 Sorocaba
30,ARAÇARIGUAMA,145.204,22860,117.63,12.01,9.890.372.356,149668.66,3502754,30,28,ARAÇARIGUAMA,ARACARIGUAMA,DRS 16 Sorocaba
31,ARAÇATUBA,1.167.126,198129,155.54,11.02,48.979.965.507,37521.17,3502804,31,29,ARAÇATUBA,ARACATUBA,DRS 02 Araçatuba
32,ARAÇOIABA DA SERRA,255.327,34776,106.88,7.23,8.257.797.635,25731.56,3502903,32,30,ARAÇOIABA DA SERRA,ARACOIABA DA SERRA,DRS 16 Sorocaba
33,ARAMINA,202.829,5655,25.39,14.49,218.444.276,22669.33,3503000,33,23,ARAMINA,ARAMINA,DRS 08 Franca
34,ARANDU,285.908,6365,21.42,30.93,3.041.449.906,18522.28,3503109,34,24,ARANDU,ARANDU,DRS 06 Bauru
35,ARAPEÍ,156.903,2460,15.89,71.43,1.264.783.575,12390.56,3503158,35,25,ARAPEÍ,ARAPEI,DRS 17 Taubaté
36,ARARAQUARA,1.003.625,238339,207.9,10.46,79.761.315.061,40253.93,3503208,36,26,ARARAQUARA,ARARAQUARA,DRS 03 Araraquara
37,ARARAS,644.831,135506,184.3,12.11,47.276.251.826,41863.92,3503307,37,27,ARARAS,ARARAS,DRS 10 Piracicaba
38,ARCO-ÍRIS,264.904,1773,7.27,33.33,1.239.160.573,29273.95,3503356,38,31,ARCO-ÍRIS,ARCO-IRIS,
39,AREALVA,506.226,8613,15.53,21.05,2.370.469.254,27135.55,3503406,39,32,AREALVA,AREALVA,DRS 06 Bauru
40,AREIAS,305.227,3896,12.11,21.28,1.591.897.697,11126.84,3503505,40,33,AREIAS,AREIAS,DRS 17 Taubaté
41,AREIÓPOLIS,85.907,11158,123.35,22.90,2.765.950.588,12884.23,3503604,41,34,AREIÓPOLIS,AREIOPOLIS,DRS 06 Bauru
42,ARIRANHA,132.624,9761,64.19,25.00,3.979.184.863,76108.12,3503703,42,35,ARIRANHA,ARIRANHA,DRS 15 São José do Rio Preto
43,ARTUR NOGUEIRA,178.026,55340,248.15,7.36,141.937.105,22156.59,3503802,43,36,ARTUR NOGUEIRA,ARTUR NOGUEIRA,DRS 07 Campinas
44,ARUJÁ,96.167,91157,779.33,16.32,24.738.693.664,69588.09,3503901,44,37,ARUJÁ,ARUJA,DRS 01 Grande São Paulo
45,ASPÁSIA,69.373,1818,26.09,-,1.347.252.382,19290.58,3503950,45,38,ASPÁSIA,ASPASIA,DRS 15 São José do Rio Preto
46,ASSIS,460.609,105087,206.7,7.69,28.856.658.779,32443.96,3504008,46,39,ASSIS,ASSIS,DRS 09 Marília
47,ATIBAIA,478.521,144088,264.57,11.07,46.527.938.024,50498.62,3504107,47,40,ATIBAIA,ATIBAIA,DRS 07 Campinas
48,AURIFLAMA,434.498,15253,32.72,5.85,3.907.089.907,20155.43,3504206,48,41,AURIFLAMA,AURIFLAMA,DRS 02 Araçatuba
49,AVAÍ,540.689,5436,9.18,14.08,18.277.667,50644.08,3504305,49,44,AVAÍ,AVAI,DRS 06 Bauru
50,AVANHANDAVA,338.370,13859,33.4,6.37,4.172.229.587,23782.13,3504404,50,42,AVANHANDAVA,AVANHANDAVA,DRS 02 Araçatuba
51,AVARÉ,1.213.055,91232,68.37,11.49,27.855.738.041,30391.62,3504503,51,43,AVARÉ,AVARE,DRS 06 Bauru
52,BADY BASSITT,110.372,17761,132.32,4.65,5.503.085.403,20504.81,3504602,52,45,BADY BASSITT,BADY BASSITT,
53,BALBINOS,91.635,5934,40.4,55.56,1.405.214.424,10405.42,3504701,53,46,BALBINOS,BALBINOS,DRS 06 Bauru
54,BÁLSAMO,149.881,9139,54.18,11.76,2.276.147.872,22575.02,3504800,54,86,BÁLSAMO,BALSAMO,DRS 15 São José do Rio Preto
55,BANANAL,616.429,10993,16.58,21.28,3.169.134.202,16937.75,3504909,55,47,BANANAL,BANANAL,DRS 17 Taubaté
56,BARÃO DE ANTONINA,153.142,3498,20.35,17.54,1.412.696.188,15482.6,3505005,56,56,BARÃO DE ANTONINA,BARAO DE ANTONINA,DRS 06 Bauru
57,BARBOSA,205.212,7468,32.14,11.36,2.006.111.119,12939.48,3505104,57,48,BARBOSA,BARBOSA,DRS 02 Araçatuba
58,BARIRI,444.405,35558,71.14,9.98,9.291.584.917,33185.53,3505203,58,49,BARIRI,BARIRI,DRS 06 Bauru
59,BARRA BONITA,150.121,36126,235.12,13.42,1.034.400.716,35500.64,3505302,59,50,BARRA BONITA,BARRA BONITA,DRS 06 Bauru
60,BARRA DO CHAPÉU,405.681,5760,12.93,27.78,1.645.513.088,14278.54,3505351,60,51,BARRA DO CHAPÉU,BARRA DO CHAPEU,DRS 16 Sorocaba
61,BARRA DO TURVO,1.007.684,7632,7.67,12.05,3.200.527.199,11840.74,3505401,61,52,BARRA DO TURVO,BARRA DO TURVO,DRS 12 Registro
62,BARRETOS,1.566.161,122833,71.6,14.57,54.357.856.644,40046.22,3505500,62,53,BARRETOS,BARRETOS,DRS 05 Barretos
63,BARRINHA,146.025,33180,195.66,8.51,7.259.476.774,15960.29,3505609,63,54,BARRINHA,BARRINHA,DRS 13 Ribeirão Preto
64,BARUERI,65.701,276982,3665.21,8.47,245.013.078.723,186382.33,3505708,64,55,BARUERI,BARUERI,DRS 01 Grande São Paulo
65,BASTOS,170.912,20953,118.95,10.34,5.041.974.043,45791.98,3505807,65,57,BASTOS,BASTOS,DRS 09 Marília
66,BATATAIS,849.526,62980,66.48,14.75,15.720.301.525,25636.34,3505906,66,58,BATATAIS,BATATAIS,DRS 13 Ribeirão Preto
67,BAURU,667.684,379297,515.12,12.98,117.232.348.483,39121.44,3506003,67,59,BAURU,BAURU,DRS 06 Bauru
68,BEBEDOURO,683.192,77555,109.81,9.88,26.294.413.955,43191.17,3506102,68,60,BEBEDOURO,BEBEDOURO,DRS 05 Barretos
69,BENTO DE ABREU,301.687,3005,8.87,32.26,1.617.083.182,56699.61,3506201,69,61,BENTO DE ABREU,BENTO DE ABREU,DRS 02 Araçatuba
70,BERNARDINO DE CAMPOS,244.158,11158,44.12,20.27,2.949.533.563,19777.19,3506300,70,62,BERNARDINO DE CAMPOS,BERNARDINO DE CAMPOS,DRS 09 Marília
71,BERTIOGA,491.546,64723,97.21,16.27,34.953.846.811,27384.29,3506359,71,63,BERTIOGA,BERTIOGA,DRS 04 Baixada Santista
72,BILAC,158.025,8117,44.63,26.67,2.529.308.059,24284.98,3506409,72,64,BILAC,BILAC,DRS 02 Araçatuba
73,BIRIGUI,530.031,124883,204.79,14.67,35.071.805.117,27268.69,3506508,73,65,BIRIGUI,BIRIGUI,DRS 02 Araçatuba
74,BIRITIBA MIRIM,317.406,32936,90.03,15.23,6.401.243.166,21320.35,3506607,74,66,BIRITIBA MIRIM,BIRITIBA MIRIM,
75,BOA ESPERANÇA DO SUL,690.748,15018,19.75,17.65,4.019.062.552,20877.23,3506706,75,67,BOA ESPERANÇA DO SUL,BOA ESPERANCA DO SUL,DRS 03 Araraquara
76,BOCAINA,363.926,12452,29.84,32.00,3.744.281.588,17819.21,3506805,76,68,BOCAINA,BOCAINA,DRS 06 Bauru
77,BOFETE,653.541,11921,14.72,08.06,3.295.507.294,16223.0,3506904,77,69,BOFETE,BOFETE,DRS 06 Bauru
78,BOITUVA,248.954,62170,194.07,11.10,19.051.618.094,39829.36,3507001,78,70,BOITUVA,BOITUVA,DRS 16 Sorocaba
79,BOM JESUS DOS PERDÕES,108.366,25985,181.87,12.16,6.784.087.637,36485.98,3507100,79,71,BOM JESUS DOS PERDÕES,BOM JESUS DOS PERDOES,DRS 07 Campinas
80,BOM SUCESSO DE ITARARÉ,133.578,3984,26.73,14.29,1.489.340.022,15972.41,3507159,80,72,BOM SUCESSO DE ITARARÉ,BOM SUCESSO DE ITARARE,DRS 16 Sorocaba
81,BORÁ,118.951,838,6.8,-,977.339.024,84796.15,3507209,81,76,BORÁ,BORA,DRS 09 Marília
82,BORACÉIA,122.110,4868,34.95,18.18,222.448.319,80228.55,3507308,82,73,BORACÉIA,BORACEIA,DRS 06 Bauru
83,BORBOREMA,552.256,16164,26.31,13.25,4.163.090.222,23374.91,3507407,83,74,BORBOREMA,BORBOREMA,DRS 03 Araraquara
84,BOREBI,347.989,2683,6.59,55.56,1.568.580.692,24905.82,3507456,84,75,BOREBI,BOREBI,DRS 06 Bauru
85,BOTUCATU,1.482.642,148130,85.88,13.99,34.809.799.717,31925.21,3507506,85,77,BOTUCATU,BOTUCATU,DRS 06 Bauru
86,BRAGANÇA PAULISTA,512.584,170533,286.26,8.54,41.956.918.644,37813.45,3507605,86,78,BRAGANÇA PAULISTA,BRAGANCA PAULISTA,DRS 07 Campinas
87,BRAÚNA,195.176,5741,25.7,15.63,1.704.980.737,17435.66,3507704,87,79,BRAÚNA,BRAUNA,DRS 02 Araçatuba
88,BREJO ALEGRE,105.689,2889,24.41,28.57,1.794.573.318,29271.06,3507753,88,80,BREJO ALEGRE,BREJO ALEGRE,DRS 02 Araçatuba
89,BRODOWSKI,278.458,25277,75.8,09.09,6.888.722.289,27203.14,3507803,89,81,BRODOWSKI,BRODOWSKI,DRS 13 Ribeirão Preto
90,BROTAS,1.101.373,24636,19.59,7.33,8.049.501.377,27225.67,3507902,90,82,BROTAS,BROTAS,DRS 06 Bauru
91,BURI,1.196.462,19965,15.52,13.16,6.141.611.714,20905.86,3508009,91,83,BURI,BURI,DRS 16 Sorocaba
92,BURITAMA,326.921,17281,47.19,5.59,6.092.304.761,37385.31,3508108,92,84,BURITAMA,BURITAMA,DRS 02 Araçatuba
93,BURITIZAL,266.420,4514,15.21,55.56,2.245.155.903,40019.23,3508207,93,85,BURITIZAL,BURITIZAL,DRS 08 Franca
94,CABRÁLIA PAULISTA,239.974,4243,18.19,38.46,1.597.261.734,19260.49,3508306,94,88,CABRÁLIA PAULISTA,CABRALIA PAULISTA,DRS 06 Bauru
95,CABREÚVA,260.234,50429,159.87,16.62,19.273.091.119,95518.16,3508405,95,87,CABREÚVA,CABREUVA,DRS 07 Campinas
96,CAÇAPAVA,368.990,95018,229.66,9.50,22.230.583.405,46192.5,3508504,96,117,CAÇAPAVA,CACAPAVA,DRS 17 Taubaté
97,CACHOEIRA PAULISTA,287.990,33581,104.49,17.33,7.832.961.452,18401.78,3508603,97,89,CACHOEIRA PAULISTA,CACHOEIRA PAULISTA,DRS 17 Taubaté
98,CACONDE,468.214,19009,39.44,14.15,4.867.607.968,18846.16,3508702,98,90,CACONDE,CACONDE,DRS 14 São João da Boa Vista
99,CAFELÂNDIA,920.280,17843,18.05,8.89,5.871.812.186,28550.67,3508801,99,91,CAFELÂNDIA,CAFELANDIA,DRS 06 Bauru
100,CAIABU,253.352,4193,16.11,20.83,1.559.789.667,13893.64,3508900,100,92,CAIABU,CAIABU,DRS 11 Presidente Prudente
101,CAIEIRAS,97.642,102775,900.37,7.54,23.756.495.633,35517.31,3509007,101,93,CAIEIRAS,CAIEIRAS,DRS 01 Grande São Paulo
102,CAIUÁ,551.159,5946,9.16,46.51,261.710.968,13036.29,3509106,102,94,CAIUÁ,CAIUA,DRS 11 Presidente Prudente
103,CAJAMAR,131.386,77934,488.18,13.52,3.864.984.297,224359.59,3509205,103,95,CAJAMAR,CAJAMAR,DRS 01 Grande São Paulo
104,CAJATI,454.436,28494,62.43,10.06,842.043.461,50776.98,3509254,104,96,CAJATI,CAJATI,DRS 12 Registro
105,CAJOBI,176.929,10596,55.22,10.42,3.021.652.334,14873.72,3509304,105,97,CAJOBI,CAJOBI,DRS 05 Barretos
106,CAJURU,660.088,26393,35.41,11.73,59.784.761,22061.52,3509403,106,98,CAJURU,CAJURU,DRS 13 Ribeirão Preto
107,CAMPINA DO MONTE ALEGRE,184.479,6057,30.09,26.67,1.947.558.047,18135.71,3509452,107,99,CAMPINA DO MONTE ALEGRE,CAMPINA DO MONTE ALEGRE,DRS 16 Sorocaba
108,CAMPINAS,794.571,1213792,1359.6,8.88,471.997.568.304,51417.44,3509502,108,100,CAMPINAS,CAMPINAS,DRS 07 Campinas
109,CAMPO LIMPO PAULISTA,79.403,85541,932.92,11.35,16.342.727.489,25211.06,3509601,109,101,CAMPO LIMPO PAULISTA,CAMPO LIMPO PAULISTA,DRS 07 Campinas
110,CAMPOS DO JORDÃO,289.981,52405,164.76,7.82,18.037.879.266,24107.48,3509700,110,102,CAMPOS DO JORDÃO,CAMPOS DO JORDAO,DRS 17 Taubaté
111,CAMPOS NOVOS PAULISTA,484.199,4997,9.38,25.97,1.966.472.806,28746.56,3509809,111,103,CAMPOS NOVOS PAULISTA,CAMPOS NOVOS PAULISTA,DRS 09 Marília
112,CANANÉIA,1.237.354,12541,9.86,10.53,4.726.034.112,23977.74,3509908,112,104,CANANÉIA,CANANEIA,DRS 12 Registro
113,CANAS,53.261,5204,82.33,47.06,2.046.471.278,20623.06,3509957,113,105,CANAS,CANAS,DRS 17 Taubaté
114,CÂNDIDO MOTA,595.811,31346,50.12,14.84,9.180.050.762,37372.6,3510005,114,143,CÂNDIDO MOTA,CANDIDO MOTA,DRS 09 Marília
115,CÂNDIDO RODRIGUES,70.892,2799,37.94,47.62,1.417.740.555,35917.03,3510104,115,144,CÂNDIDO RODRIGUES,CANDIDO RODRIGUES,DRS 03 Araraquara
116,CANITAR,57.459,5292,76.34,28.57,1.700.702.541,36713.02,3510153,116,106,CANITAR,CANITAR,DRS 09 Marília
117,CAPÃO BONITO,1.640.230,47118,28.15,8.97,12.248.296.613,19221.42,3510203,117,109,CAPÃO BONITO,CAPAO BONITO,DRS 16 Sorocaba
118,CAPELA DO ALTO,169.890,20985,103.2,14.04,5.183.196.495,13344.01,3510302,118,107,CAPELA DO ALTO,CAPELA DO ALTO,DRS 16 Sorocaba
119,CAPIVARI,322.878,56379,150.45,16.13,19.216.205.772,37353.4,3510401,119,108,CAPIVARI,CAPIVARI,DRS 10 Piracicaba
120,CARAGUATATUBA,484.947,123389,207.88,13.09,5.953.609.078,27802.88,3510500,120,110,CARAGUATATUBA,CARAGUATATUBA,DRS 17 Taubaté
121,CARAPICUÍBA,34.546,403183,10698.32,10.77,41.606.726.676,14413.33,3510609,121,111,CARAPICUÍBA,CARAPICUIBA,DRS 01 Grande São Paulo
122,CARDOSO,639.248,12349,18.45,14.29,4.032.040.495,20770.49,3510708,122,112,CARDOSO,CARDOSO,DRS 15 São José do Rio Preto
123,CASA BRANCA,864.225,30520,32.76,6.33,9.269.325.741,27488.44,3510807,123,113,CASA BRANCA,CASA BRANCA,DRS 14 São João da Boa Vista
124,CÁSSIA DOS COQUEIROS,191.683,2505,13.74,47.62,129.997.879,58581.94,3510906,124,142,CÁSSIA DOS COQUEIROS,CASSIA DOS COQUEIROS,DRS 13 Ribeirão Preto
125,CASTILHO,1.065.318,21267,16.89,24.39,7.716.998.419,41708.15,3511003,125,114,CASTILHO,CASTILHO,DRS 02 Araçatuba
126,CATANDUVA,290.596,122497,388.24,8.14,40.370.092.796,34611.18,3511102,126,115,CATANDUVA,CATANDUVA,DRS 15 São José do Rio Preto
127,CATIGUÁ,148.393,7855,48.03,10.75,1.943.758.657,15079.11,3511201,127,116,CATIGUÁ,CATIGUA,DRS 15 São José do Rio Preto
128,CEDRAL,197.838,9346,40.33,19.61,3.096.082.651,34238.37,3511300,128,118,CEDRAL,CEDRAL,DRS 15 São José do Rio Preto
129,CERQUEIRA CÉSAR,511.621,20191,34.27,4.10,642.727.041,30605.21,3511409,129,119,CERQUEIRA CÉSAR,CERQUEIRA CESAR,DRS 06 Bauru
130,CERQUILHO,127.803,49802,309.98,5.96,13.870.953.714,38133.41,3511508,130,120,CERQUILHO,CERQUILHO,DRS 16 Sorocaba
131,CESÁRIO LANGE,190.392,18375,81.46,21.28,5.341.386.635,24128.03,3511607,131,121,CESÁRIO LANGE,CESARIO LANGE,DRS 16 Sorocaba
132,CHARQUEADA,175.846,17367,85.79,19.42,3.858.850.552,20806.95,3511706,132,122,CHARQUEADA,CHARQUEADA,DRS 10 Piracicaba
133,CLEMENTINA,168.590,8757,41.85,8.55,2.523.684.461,25945.35,3511904,134,124,CLEMENTINA,CLEMENTINA,DRS 02 Araçatuba
134,COLINA,422.303,18535,41.11,8.10,6.947.246.161,60218.14,3512001,135,125,COLINA,COLINA,DRS 05 Barretos
135,COLÔMBIA,728.648,6216,8.22,11.76,3.861.876.712,53207.43,3512100,136,126,COLÔMBIA,COLOMBIA,DRS 05 Barretos
136,CONCHAL,182.793,28273,138.02,12.20,8.641.317.651,24884.49,3512209,137,127,CONCHAL,CONCHAL,DRS 10 Piracicaba
137,CONCHAS,466.120,18019,34.95,9.62,5.064.558.986,19830.73,3512308,138,128,CONCHAS,CONCHAS,DRS 06 Bauru
138,CORDEIRÓPOLIS,137.579,24826,153.22,3.55,12.167.231.628,116519.63,3512407,139,129,CORDEIRÓPOLIS,CORDEIROPOLIS,DRS 10 Piracicaba
139,COROADOS,246.825,6129,21.26,13.89,1.840.657.198,27648.49,3512506,140,130,COROADOS,COROADOS,DRS 02 Araçatuba
140,CORONEL MACEDO,303.830,4635,16.45,18.52,1.898.206.845,16258.72,3512605,141,131,CORONEL MACEDO,CORONEL MACEDO,DRS 06 Bauru
141,CORUMBATAÍ,278.622,4064,13.9,18.87,2.344.837.991,61418.68,3512704,142,132,CORUMBATAÍ,CORUMBATAI,DRS 10 Piracicaba
142,COSMÓPOLIS,154.665,73474,380.37,10.83,14.844.159.284,22410.36,3512803,143,134,COSMÓPOLIS,COSMOPOLIS,DRS 07 Campinas
143,COSMORAMA,441.680,7298,16.33,33.33,2.564.712.509,45912.53,3512902,144,133,COSMORAMA,COSMORAMA,DRS 15 São José do Rio Preto
144,COTIA,323.994,253608,620.81,7.42,72.086.657.794,51225.49,3513009,145,135,COTIA,COTIA,DRS 01 Grande São Paulo
145,CRAVINHOS,311.423,35579,101.77,12.44,111.134.667,34165.63,3513108,146,136,CRAVINHOS,CRAVINHOS,DRS 13 Ribeirão Preto
146,CRISTAIS PAULISTA,385.230,8718,19.7,16.53,2.548.163.482,22617.1,3513207,147,137,CRISTAIS PAULISTA,CRISTAIS PAULISTA,DRS 08 Franca
147,CRUZÁLIA,149.330,2046,15.26,43.48,146.318.345,49778.13,3513306,148,139,CRUZÁLIA,CRUZALIA,DRS 09 Marília
148,CRUZEIRO,305.699,82571,252.01,14.05,14.734.817.894,29743.19,3513405,149,138,CRUZEIRO,CRUZEIRO,DRS 17 Taubaté
149,CUBATÃO,142.879,131626,830.91,13.58,9.851.541.083,101597.09,3513504,150,140,CUBATÃO,CUBATAO,DRS 04 Baixada Santista
150,CUNHA,1.407.250,21459,15.54,4.15,5.132.950.024,11971.43,3513603,151,141,CUNHA,CUNHA,DRS 17 Taubaté
151,DESCALVADO,753.706,33910,41.2,8.36,9.257.565.685,47327.8,3513702,152,145,DESCALVADO,DESCALVADO,DRS 03 Araraquara
152,DIADEMA,30.732,426757,12536.99,12.41,121.270.415.444,34855.75,3513801,153,146,DIADEMA,DIADEMA,DRS 01 Grande São Paulo
153,DIRCE REIS,88.133,1799,19.12,111.11,1.293.980.784,32133.62,3513850,154,147,DIRCE REIS,DIRCE REIS,DRS 15 São José do Rio Preto
154,DIVINOLÂNDIA,223.749,11086,50.46,8.62,3.118.057.134,24940.84,3513900,155,148,DIVINOLÂNDIA,DIVINOLANDIA,DRS 14 São João da Boa Vista
155,DOBRADA,149.729,9010,53.02,16.67,1.890.998.197,13045.55,3514007,156,149,DOBRADA,DOBRADA,DRS 03 Araraquara
156,DOIS CÓRREGOS,632.972,27512,39.12,11.98,6.973.672.159,23896.69,3514106,157,150,DOIS CÓRREGOS,DOIS CORREGOS,DRS 06 Bauru
157,DOLCINÓPOLIS,77.939,2112,26.76,-,981.463.877,21845.64,3514205,158,151,DOLCINÓPOLIS,DOLCINOPOLIS,DRS 15 São José do Rio Preto
158,DOURADO,205.874,8878,41.82,31.25,274.537.845,70723.95,3514304,159,152,DOURADO,DOURADO,DRS 03 Araraquara
159,DRACENA,487.688,47043,88.64,10.18,10.936.069.292,25779.84,3514403,160,153,DRACENA,DRACENA,DRS 11 Presidente Prudente
160,DUARTINA,264.557,12433,46.31,6.80,3.479.601.249,19047.83,3514502,161,154,DUARTINA,DUARTINA,DRS 06 Bauru
161,DUMONT,111.376,10023,73.13,9.71,2.584.689.081,23587.84,3514601,162,155,DUMONT,DUMONT,DRS 13 Ribeirão Preto
162,ECHAPORÃ,515.258,6064,12.26,24.69,2.162.941.985,20426.97,3514700,163,156,ECHAPORÃ,ECHAPORA,DRS 09 Marília
163,ELDORADO,1.654.256,15544,8.85,14.56,3.975.467.225,20795.32,3514809,164,157,ELDORADO,ELDORADO,DRS 12 Registro
164,ELIAS FAUSTO,202.360,17936,77.83,14.42,5.215.579.784,40144.54,3514908,165,158,ELIAS FAUSTO,ELIAS FAUSTO,DRS 10 Piracicaba
165,ELISIÁRIO,93.980,3697,33.2,26.32,1.507.041.166,17685.0,3514924,166,159,ELISIÁRIO,ELISIARIO,DRS 15 São José do Rio Preto
