,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Mortalidade_Infantil,Despesas_empenhadas,PIB,Código IBGE,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,DRS
166,EMBAÚBA,83.129,2449,29.15,55.56,1.403.784.829,21238.83,3514957,167,160,EMBAÚBA,EMBAUBA,DRS 15 São José do Rio Preto
167,EMBU DAS ARTES,70.398,276535,3412.89,11.41,55.980.658.715,48914.66,3515004,168,161,EMBU DAS ARTES,EMBU DAS ARTES,
168,EMBU-GUAÇU,155.641,69901,403.32,5.95,12.715.569.309,16293.33,3515103,169,162,EMBU-GUAÇU,EMBU-GUACU,DRS 01 Grande São Paulo
169,EMILIANÓPOLIS,225.167,3227,13.45,25.00,1.395.866.666,19284.0,3515129,170,163,EMILIANÓPOLIS,EMILIANOPOLIS,DRS 11 Presidente Prudente
170,ENGENHEIRO COELHO,109.941,21249,142.99,7.35,502.249.802,32701.36,3515152,171,164,ENGENHEIRO COELHO,ENGENHEIRO COELHO,DRS 10 Piracicaba
171,ESPÍRITO SANTO DO PINHAL,389.235,44471,107.61,4.18,9.830.415.753,32436.36,3515186,172,165,ESPÍRITO SANTO DO PINHAL,ESPIRITO SANTO DO PINHAL,DRS 14 São João da Boa Vista
172,ESPÍRITO SANTO DO TURVO,193.666,4878,21.92,45.45,1.794.254.007,16466.12,3515194,173,166,ESPÍRITO SANTO DO TURVO,ESPIRITO SANTO DO TURVO,DRS 09 Marília
173,ESTRELA D'OESTE,296.281,8419,27.69,18.35,3.289.195.349,74377.84,3515202,175,168,ESTRELA D'OESTE,ESTRELA D'OESTE,DRS 15 São José do Rio Preto
174,ESTRELA DO NORTE,264.987,2770,10.09,27.78,1.434.214.864,18316.56,3515301,176,169,ESTRELA DO NORTE,ESTRELA DO NORTE,DRS 11 Presidente Prudente
175,EUCLIDES DA CUNHA PAULISTA,573.894,9325,16.66,27.27,2.647.153.319,16893.29,3515350,177,170,EUCLIDES DA CUNHA PAULISTA,EUCLIDES DA CUNHA PAULISTA,DRS 11 Presidente Prudente
176,FARTURA,429.171,16070,35.7,5.00,4.395.959.744,23162.82,3515400,178,171,FARTURA,FARTURA,DRS 06 Bauru
177,FERNANDÓPOLIS,549.797,69402,117.62,17.65,17.468.338.965,29148.74,3515509,180,173,FERNANDÓPOLIS,FERNANDOPOLIS,DRS 15 São José do Rio Preto
178,FERNANDO PRESTES,169.990,5794,32.43,14.93,1.967.936.307,33167.17,3515608,179,172,FERNANDO PRESTES,FERNANDO PRESTES,DRS 15 São José do Rio Preto
179,FERNÃO,100.504,1727,15.51,55.56,1.148.403.755,29359.98,3515657,181,174,FERNÃO,FERNAO,DRS 09 Marília
180,FERRAZ DE VASCONCELOS,29.564,196500,5692.55,11.03,26.726.232.101,16344.03,3515707,182,175,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,DRS 01 Grande São Paulo
181,FLORA RICA,224.711,1430,7.78,45.45,1.214.719.562,25329.16,3515806,183,176,FLORA RICA,FLORA RICA,DRS 11 Presidente Prudente
182,FLOREAL,204.236,2900,14.7,55.56,1.743.996.057,21806.07,3515905,184,177,FLOREAL,FLOREAL,DRS 15 São José do Rio Preto
183,FLÓRIDA PAULISTA,524.138,14790,24.47,23.08,3.187.861.943,14264.37,3516002,185,179,FLÓRIDA PAULISTA,FLORIDA PAULISTA,DRS 09 Marília
184,FLORÍNEA,225.886,2653,12.54,25.00,165.833.992,50422.89,3516101,186,178,FLORÍNEA,FLORINEA,
185,FRANCA,605.679,355901,526.09,8.80,69.376.486.769,28518.78,3516200,187,180,FRANCA,FRANCA,DRS 08 Franca
186,FRANCISCO MORATO,49.001,177633,3147.8,10.93,28.306.188.222,8719.4,3516309,188,181,FRANCISCO MORATO,FRANCISCO MORATO,DRS 01 Grande São Paulo
187,FRANCO DA ROCHA,132.775,156492,980.95,14.24,28.328.564.064,19650.05,3516408,189,182,FRANCO DA ROCHA,FRANCO DA ROCHA,DRS 01 Grande São Paulo
188,GABRIEL MONTEIRO,138.681,2776,19.55,40.00,138.922.692,26699.71,3516507,190,183,GABRIEL MONTEIRO,GABRIEL MONTEIRO,DRS 02 Araçatuba
189,GÁLIA,355.914,6482,19.69,38.46,207.128.507,21643.97,3516606,191,209,GÁLIA,GALIA,DRS 09 Marília
190,GARÇA,555.807,44409,77.6,16.98,13.660.683.684,26874.37,3516705,192,184,GARÇA,GARCA,DRS 09 Marília
191,GASTÃO VIDIGAL,180.569,4860,23.17,45.45,1.522.179.347,16095.7,3516804,193,185,GASTÃO VIDIGAL,GASTAO VIDIGAL,DRS 15 São José do Rio Preto
192,GAVIÃO PEIXOTO,243.766,4815,18.13,14.49,3.704.895.802,186287.72,3516853,194,186,GAVIÃO PEIXOTO,GAVIAO PEIXOTO,DRS 03 Araraquara
193,GENERAL SALGADO,494.376,10862,21.63,8.20,4.419.869.202,22848.77,3516903,195,187,GENERAL SALGADO,GENERAL SALGADO,DRS 15 São José do Rio Preto
194,GETULINA,676.755,11447,15.86,10.00,2.748.055.568,16284.53,3517000,196,188,GETULINA,GETULINA,DRS 06 Bauru
195,GLICÉRIO,272.800,4829,16.69,15.38,1.852.322.084,21142.62,3517109,197,189,GLICÉRIO,GLICERIO,DRS 02 Araçatuba
196,GUAIÇARA,277.154,12294,39.35,12.50,2.977.761.906,16298.89,3517208,198,191,GUAIÇARA,GUAICARA,DRS 06 Bauru
197,GUAIMBÊ,217.811,5785,24.88,11.24,1.931.637.921,13163.82,3517307,199,190,GUAIMBÊ,GUAIMBE,DRS 09 Marília
198,GUAÍRA,1.258.465,41040,29.72,6.26,15.656.554.772,80169.84,3517406,200,207,GUAÍRA,GUAIRA,DRS 05 Barretos
199,GUAPIAÇU,325.126,21775,55.0,4.17,6.187.292.947,26008.59,3517505,201,193,GUAPIAÇU,GUAPIACU,DRS 15 São José do Rio Preto
200,GUAPIARA,408.292,17025,44.08,36.76,4.456.750.092,18874.32,3517604,202,192,GUAPIARA,GUAPIARA,DRS 16 Sorocaba
201,GUARÁ,362.183,21308,54.78,4.17,5.490.499.999,20804.61,3517703,203,205,GUARÁ,GUARA,DRS 08 Franca
202,GUARAÇAÍ,569.197,8290,14.8,42.25,2.590.289.786,32770.4,3517802,204,200,GUARAÇAÍ,GUARACAI,DRS 02 Araçatuba
203,GUARACI,641.501,11287,15.55,16.26,4.717.214.591,29683.17,3517901,205,194,GUARACI,GUARACI,DRS 05 Barretos
204,GUARANI D'OESTE,85.700,1998,23.03,50.00,1.161.059.837,17755.48,3518008,206,195,GUARANÍ D'OESTE,GUARANI D'OESTE,DRS 15 São José do Rio Preto
205,GUARANTÃ,461.746,6675,13.89,44.12,1.891.666.553,26176.16,3518107,207,196,GUARANTÃ,GUARANTA,DRS 09 Marília
206,GUARARAPES,955.637,33100,31.99,10.81,8.691.560.146,27764.52,3518206,208,197,GUARARAPES,GUARARAPES,DRS 02 Araçatuba
207,GUARAREMA,270.816,30136,95.43,9.85,16.131.960.779,47997.77,3518305,209,198,GUARAREMA,GUARAREMA,DRS 01 Grande São Paulo
208,GUARATINGUETÁ,752.636,122505,148.91,13.79,30.489.553.466,46849.29,3518404,210,199,GUARATINGUETÁ,GUARATINGUETA,DRS 17 Taubaté
209,GUAREÍ,567.884,18887,25.72,6.58,3.644.106.027,12279.22,3518503,211,201,GUAREÍ,GUAREI,DRS 16 Sorocaba
210,GUARIBA,270.289,40487,131.29,9.96,9.482.885.351,22657.16,3518602,212,202,GUARIBA,GUARIBA,DRS 13 Ribeirão Preto
211,GUARUJÁ,144.794,322750,2026.8,18.51,115.355.418.582,27031.81,3518701,213,203,GUARUJÁ,GUARUJA,DRS 04 Baixada Santista
212,GUARULHOS,318.675,1392121,3834.51,11.59,398.543.868.069,44897.7,3518800,214,204,GUARULHOS,GUARULHOS,DRS 01 Grande São Paulo
213,GUATAPARÁ,413.567,7709,16.84,18.18,2.667.109.258,28000.56,3518859,215,206,GUATAPARÁ,GUATAPARA,DRS 13 Ribeirão Preto
214,GUZOLÂNDIA,252.477,5307,18.86,16.13,1.760.196.305,12594.84,3518909,216,208,GUZOLÂNDIA,GUZOLANDIA,DRS 02 Araçatuba
215,HERCULÂNDIA,364.252,9588,23.85,9.71,22.891.195,33182.41,3519006,217,210,HERCULÂNDIA,HERCULANDIA,DRS 09 Marília
216,HOLAMBRA,65.577,15272,172.3,4.67,6.793.448.903,66537.66,3519055,218,211,HOLAMBRA,HOLAMBRA,DRS 07 Campinas
217,HORTOLÂNDIA,62.416,234259,3094.16,08.08,67.418.619.628,57691.75,3519071,219,212,HORTOLÂNDIA,HORTOLANDIA,DRS 07 Campinas
218,IACANGA,547.393,11858,18.29,7.63,412.838.993,37023.57,3519105,220,213,IACANGA,IACANGA,DRS 06 Bauru
219,IACRI,321.948,6295,19.9,17.86,1.717.247.081,30157.75,3519204,221,214,IACRI,IACRI,DRS 09 Marília
220,IARAS,401.381,9517,15.89,54.05,2.349.336.282,17031.66,3519253,222,215,IARAS,IARAS,DRS 06 Bauru
221,IBATÉ,290.978,35472,105.74,3.98,8.251.537.296,24454.14,3519303,223,216,IBATÉ,IBATE,DRS 03 Araraquara
222,IBIRÁ,271.912,12518,40.07,13.70,3.714.219.875,20475.08,3519402,224,218,IBIRÁ,IBIRA,DRS 15 São José do Rio Preto
223,IBIRAREMA,228.230,7841,29.45,29.85,2.389.156.961,23951.1,3519501,225,217,IBIRAREMA,IBIRAREMA,DRS 09 Marília
224,IBITINGA,689.391,60600,77.12,13.48,13.435.173.134,25630.47,3519600,226,219,IBITINGA,IBITINGA,DRS 03 Araraquara
225,IBIÚNA,1.058.082,79479,67.31,12.74,1.840.892.641,21746.5,3519709,227,220,IBIÚNA,IBIUNA,DRS 16 Sorocaba
226,ICÉM,362.355,8304,20.58,27.27,3.359.575.417,21243.2,3519808,228,221,ICÉM,ICEM,DRS 15 São José do Rio Preto
227,IEPÊ,594.974,8194,12.81,19.42,301.662.191,30435.64,3519907,229,222,IEPÊ,IEPE,DRS 11 Presidente Prudente
228,IGARAÇU DO TIETÊ,97.747,24749,239.07,20.76,5.917.584.358,12335.36,3520004,230,225,IGARAÇÚ DO TIETÊ,IGARACU DO TIETE,DRS 06 Bauru
229,IGARAPAVA,468.355,30614,59.7,6.71,828.253.599,39002.62,3520103,231,223,IGARAPAVA,IGARAPAVA,DRS 08 Franca
230,IGARATÁ,292.953,9583,30.14,8.20,3.853.221.607,19049.08,3520202,232,224,IGARATÁ,IGARATA,DRS 17 Taubaté
231,IGUAPE,1.978.795,30989,14.58,32.79,8.926.986.164,38078.83,3520301,233,226,IGUAPE,IGUAPE,DRS 12 Registro
232,ILHABELA,346.389,35591,81.13,9.43,41.701.791.236,419457.22,3520400,236,229,ILHABELA,ILHABELA,
233,ILHA COMPRIDA,196.567,11362,47.01,6.29,9.302.952.622,122204.12,3520426,234,227,ILHA COMPRIDA,ILHA COMPRIDA,DRS 12 Registro
234,ILHA SOLTEIRA,652.641,26788,38.42,14.04,11.143.211.982,23525.05,3520442,235,228,ILHA SOLTEIRA,ILHA SOLTEIRA,DRS 02 Araçatuba
235,INDAIATUBA,311.545,256223,646.11,9.70,95.951.237.517,63166.46,3520509,237,230,INDAIATUBA,INDAIATUBA,DRS 07 Campinas
236,INDIANA,129.367,4879,38.11,18.18,1.567.878.153,13109.17,3520608,238,231,INDIANA,INDIANA,DRS 11 Presidente Prudente
237,INDIAPORÃ,279.606,3886,13.96,20.41,1.898.209.407,24449.85,3520707,239,232,INDIAPORÃ,INDIAPORA,DRS 15 São José do Rio Preto
238,INÚBIA PAULISTA,87.119,4019,41.53,-,1.435.947.921,34888.1,3520806,240,233,INÚBIA PAULISTA,INUBIA PAULISTA,DRS 09 Marília
239,IPAUSSU,209.554,15069,65.17,15.71,4.259.493.842,25086.47,3520905,241,234,IPAUSSU,IPAUSSU,DRS 09 Marília
240,IPERÓ,170.289,37964,166.2,11.49,8.268.638.315,17873.0,3521002,242,235,IPERÓ,IPERO,DRS 16 Sorocaba
241,IPEÚNA,190.010,7687,31.66,9.62,2.638.376.638,94080.97,3521101,243,236,IPEÚNA,IPEUNA,DRS 10 Piracicaba
242,IPIGUÁ,136.028,5476,32.89,20.00,1.814.167.521,20253.65,3521150,244,237,IPIGUÁ,IPIGUA,DRS 15 São José do Rio Preto
243,IPORANGA,1.152.059,4199,3.73,17.54,1.938.515.534,12098.74,3521200,245,238,IPORANGA,IPORANGA,DRS 12 Registro
244,IPUÃ,466.461,16604,30.37,10.53,5.448.504.373,22139.12,3521309,246,239,IPUÃ,IPUA,DRS 08 Franca
245,IRACEMÁPOLIS,115.118,24614,173.99,8.62,7.610.780.334,83477.19,3521408,247,240,IRACEMÁPOLIS,IRACEMAPOLIS,DRS 10 Piracicaba
246,IRAPUÃ,257.612,8048,28.21,12.50,2.079.486.392,19748.75,3521507,248,242,IRAPUÃ,IRAPUA,DRS 15 São José do Rio Preto
247,IRAPURU,214.461,8325,36.24,25.00,1.815.140.176,10659.85,3521606,249,241,IRAPURU,IRAPURU,DRS 11 Presidente Prudente
248,ITABERÁ,1.100.247,17480,16.08,32.26,521.254.518,29569.7,3521705,250,243,ITABERÁ,ITABERA,DRS 16 Sorocaba
249,ITAÍ,1.092.884,27382,22.17,03.03,7.614.201.532,22376.97,3521804,251,262,ITAÍ,ITAI,DRS 06 Bauru
250,ITAJOBI,502.066,15297,28.99,17.24,6.368.173.156,105038.02,3521903,252,244,ITAJOBI,ITAJOBI,DRS 15 São José do Rio Preto
251,ITAJU,230.355,3887,14.12,31.25,1.572.953.704,23089.26,3522000,253,245,ITAJU,ITAJU,DRS 06 Bauru
252,ITANHAÉM,601.711,103102,144.69,7.20,3.783.863.151,18763.24,3522109,254,246,ITANHAÉM,ITANHAEM,DRS 04 Baixada Santista
253,ITAOCA,183.015,3330,17.64,47.62,1.617.857.517,12416.89,3522158,255,247,ITAOCA,ITAOCA,DRS 16 Sorocaba
254,ITAPECERICA DA SERRA,150.742,177662,1011.57,10.39,36.630.484.686,21079.61,3522208,256,248,ITAPECERICA DA SERRA,ITAPECERICA DA SERRA,DRS 01 Grande São Paulo
255,ITAPETININGA,1.789.350,165526,80.65,15.60,42.675.460.157,29304.81,3522307,257,249,ITAPETININGA,ITAPETININGA,DRS 16 Sorocaba
256,ITAPEVA,1.826.258,94804,48.05,08.01,26.397.264.795,26860.38,3522406,258,250,ITAPEVA,ITAPEVA,DRS 16 Sorocaba
257,ITAPEVI,82.658,240961,2428.88,11.69,53.397.066.809,51939.22,3522505,259,251,ITAPEVI,ITAPEVI,DRS 01 Grande São Paulo
258,ITAPIRA,518.416,75234,132.21,23.66,25.034.039.636,52565.34,3522604,260,252,ITAPIRA,ITAPIRA,DRS 14 São João da Boa Vista
259,ITAPIRAPUÃ PAULISTA,406.478,4268,9.55,30.30,158.424.124,9994.74,3522653,261,253,ITAPIRAPUÃ PAULISTA,ITAPIRAPUA PAULISTA,DRS 16 Sorocaba
260,ITÁPOLIS,996.747,43331,40.18,13.19,10.805.313.907,30504.92,3522703,262,269,ITÁPOLIS,ITAPOLIS,DRS 03 Araraquara
261,ITAPORANGA,507.997,15173,28.66,20.20,3.498.269.882,21229.91,3522802,263,254,ITAPORANGA,ITAPORANGA,DRS 06 Bauru
262,ITAPUÍ,140.023,14147,86.46,32.47,4.032.040.542,48103.23,3522901,264,256,ITAPUÍ,ITAPUI,DRS 06 Bauru
263,ITAPURA,301.653,4951,14.46,25.00,2.297.943.781,18828.79,3523008,265,255,ITAPURA,ITAPURA,DRS 02 Araçatuba
264,ITAQUAQUECETUBA,82.622,375011,3895.24,12.92,57.377.286.888,19678.54,3523107,266,257,ITAQUAQUECETUBA,ITAQUAQUECETUBA,DRS 01 Grande São Paulo
265,ITARARÉ,1.003.860,50642,47.76,15.55,10.027.038.884,17452.03,3523206,267,258,ITARARÉ,ITARARE,DRS 16 Sorocaba
266,ITARIRI,273.667,17598,56.53,12.82,3.488.620.054,15990.63,3523305,268,259,ITARIRI,ITARIRI,DRS 12 Registro
267,ITATIBA,322.276,122581,314.9,8.54,36.819.590.964,50811.86,3523404,269,260,ITATIBA,ITATIBA,DRS 07 Campinas
268,ITATINGA,979.817,20921,18.42,3.64,6.068.049.774,20051.45,3523503,270,261,ITATINGA,ITATINGA,DRS 06 Bauru
269,ITIRAPINA,564.603,18387,27.49,11.70,6.336.974.657,22943.13,3523602,271,263,ITIRAPINA,ITIRAPINA,DRS 10 Piracicaba
270,ITIRAPUÃ,161.118,6543,36.71,28.99,1.768.896.235,15275.66,3523701,272,264,ITIRAPUÃ,ITIRAPUA,DRS 08 Franca
271,ITOBI,138.986,7852,54.2,35.71,1.657.964.617,15939.55,3523800,273,265,ITOBI,ITOBI,DRS 14 São João da Boa Vista
272,ITU,640.719,175568,241.01,11.21,53.016.351.302,45461.13,3523909,274,266,ITU,ITU,DRS 16 Sorocaba
273,ITUPEVA,200.816,62813,223.38,16.53,22.537.151.487,112159.24,3524006,275,267,ITUPEVA,ITUPEVA,DRS 07 Campinas
274,ITUVERAVA,704.659,42045,54.87,6.24,13.606.657.043,36651.33,3524105,276,268,ITUVERAVA,ITUVERAVA,DRS 08 Franca
275,JABORANDI,273.438,6946,24.11,48.39,258.157.643,19946.28,3524204,277,270,JABORANDI,JABORANDI,DRS 05 Barretos
276,JABOTICABAL,706.602,77652,101.42,13.02,26.987.444.489,37818.06,3524303,278,271,JABOTICABAL,JABOTICABAL,DRS 13 Ribeirão Preto
277,JACAREÍ,464.272,235416,454.94,11.05,79.561.947.276,54796.98,3524402,279,272,JACAREÍ,JACAREI,DRS 17 Taubaté
278,JACI,145.133,7196,38.87,11.49,2.316.848.995,56703.27,3524501,280,273,JACI,JACI,DRS 15 São José do Rio Preto
279,JACUPIRANGA,704.189,17889,24.44,11.45,4.247.718.526,29728.97,3524600,281,274,JACUPIRANGA,JACUPIRANGA,DRS 12 Registro
280,JAGUARIÚNA,141.391,58722,313.37,8.75,30.243.147.496,205080.73,3524709,282,275,JAGUARIÚNA,JAGUARIUNA,DRS 07 Campinas
281,JALES,368.574,49201,127.57,9.69,13.560.682.028,31555.69,3524808,283,276,JALES,JALES,DRS 15 São José do Rio Preto
282,JAMBEIRO,184.413,6717,29.01,59.70,2.767.064.067,36754.0,3524907,284,277,JAMBEIRO,JAMBEIRO,DRS 17 Taubaté
283,JANDIRA,17.449,126356,6207.76,11.67,23.598.583.921,32512.79,3525003,285,278,JANDIRA,JANDIRA,DRS 01 Grande São Paulo
284,JARDINÓPOLIS,501.870,44970,74.99,14.52,12.044.774.933,25060.21,3525102,286,279,JARDINÓPOLIS,JARDINOPOLIS,DRS 13 Ribeirão Preto
285,JARINU,207.549,30617,114.85,6.33,10.796.003.669,85221.43,3525201,287,280,JARINU,JARINU,DRS 07 Campinas
286,JAÚ,687.103,151881,191.09,11.66,361304.59,31855.35,3525300,288,281,JAÚ,JAU,DRS 06 Bauru
287,JERIQUARA,141.971,3151,22.26,20.83,1.576.701.664,26005.63,3525409,289,282,JERIQUARA,JERIQUARA,DRS 08 Franca
288,JOANÓPOLIS,374.293,13338,31.44,7.25,3.582.519.274,16262.42,3525508,290,283,JOANÓPOLIS,JOANOPOLIS,DRS 07 Campinas
289,JOÃO RAMALHO,415.452,4551,9.99,16.13,190.481.281,26890.88,3525607,291,285,JOÃO RAMALHO,JOAO RAMALHO,DRS 11 Presidente Prudente
290,JOSÉ BONIFÁCIO,860.200,37366,38.1,4.26,8.504.946.331,36031.7,3525706,292,284,JOSÉ BONIFÁCIO,JOSE BONIFACIO,DRS 15 São José do Rio Preto
291,JÚLIO MESQUITA,128.183,4800,34.55,34.48,1.629.430.831,10759.02,3525805,293,291,JÚLIO MESQUITA,JULIO MESQUITA,DRS 09 Marília
292,JUMIRIM,56.685,3418,49.36,29.41,159.385.812,39671.59,3525854,294,286,JUMIRIM,JUMIRIM,DRS 16 Sorocaba
293,JUNDIAÍ,431.207,423006,858.42,10.55,185.620.008.543,105187.65,3525904,295,287,JUNDIAÍ,JUNDIAI,DRS 07 Campinas
294,JUNQUEIRÓPOLIS,582.565,20831,32.12,8.55,6.010.534.605,28071.57,3526001,296,288,JUNQUEIRÓPOLIS,JUNQUEIROPOLIS,DRS 11 Presidente Prudente
295,JUQUIÁ,812.799,18718,23.68,17.99,4.332.419.616,17394.7,3526100,297,290,JUQUIÁ,JUQUIA,DRS 12 Registro
296,JUQUITIBA,522.169,31646,55.03,4.42,7.319.019.701,16452.82,3526209,298,289,JUQUITIBA,JUQUITIBA,DRS 01 Grande São Paulo
297,LAGOINHA,255.472,4889,18.95,40.00,1.538.531.473,11542.06,3526308,299,292,LAGOINHA,LAGOINHA,DRS 17 Taubaté
298,LARANJAL PAULISTA,384.274,28785,65.75,09.04,8.013.234.929,39397.31,3526407,300,293,LARANJAL PAULISTA,LARANJAL PAULISTA,DRS 06 Bauru
299,LAVÍNIA,537.675,12285,16.33,14.49,3.192.057.164,13500.89,3526506,301,295,LAVÍNIA,LAVINIA,DRS 02 Araçatuba
300,LAVRINHAS,167.067,7311,39.45,30.93,2.142.597.988,15256.91,3526605,302,294,LAVRINHAS,LAVRINHAS,DRS 17 Taubaté
301,LEME,402.871,104346,227.75,09.07,28.262.706.268,31320.57,3526704,303,296,LEME,LEME,DRS 10 Piracicaba
302,LENÇÓIS PAULISTA,809.541,68990,75.88,5.81,2.092.687.412,38890.38,3526803,304,297,LENÇÓIS PAULISTA,LENCOIS PAULISTA,DRS 06 Bauru
303,LIMEIRA,580.711,308482,475.32,08.01,9.005.214.526,43440.26,3526902,305,298,LIMEIRA,LIMEIRA,DRS 10 Piracicaba
304,LINDÓIA,48.756,8092,137.67,28.57,3.062.069.173,23184.72,3527009,306,299,LINDÓIA,LINDOIA,DRS 07 Campinas
305,LINS,570.058,78503,124.98,10.66,1.828.737.478,48837.12,3527108,307,300,LINS,LINS,DRS 06 Bauru
306,LORENA,414.160,89125,199.29,7.92,18.799.075.789,32021.36,3527207,308,301,LORENA,LORENA,DRS 17 Taubaté
307,LOURDES,113.940,2300,18.71,90.91,1.204.396.269,17580.34,3527256,309,302,LOURDES,LOURDES,DRS 02 Araçatuba
308,LOUVEIRA,55.133,49993,673.37,15.04,38.352.537.831,229610.7,3527306,310,303,LOUVEIRA,LOUVEIRA,DRS 07 Campinas
309,LUCÉLIA,314.810,21886,63.17,5.85,4.459.398.147,20420.77,3527405,311,305,LUCÉLIA,LUCELIA,DRS 09 Marília
310,LUCIANÓPOLIS,189.536,2403,11.85,35.71,1.290.607.153,23901.68,3527504,312,304,LUCIANÓPOLIS,LUCIANOPOLIS,DRS 06 Bauru
311,LUÍS ANTÔNIO,598.257,15292,18.85,26.60,6.072.143.339,103433.56,3527603,313,309,LUÍS ANTÔNIO,LUIS ANTONIO,DRS 13 Ribeirão Preto
312,LUIZIÂNIA,166.576,5855,30.2,17.54,15.679.586,12536.56,3527702,314,306,LUIZIÂNIA,LUIZIANIA,DRS 02 Araçatuba
313,LUPÉRCIO,155.171,4596,28.18,45.45,1.609.420.027,16923.63,3527801,315,307,LUPÉRCIO,LUPERCIO,DRS 09 Marília
314,LUTÉCIA,475.226,2636,5.71,23.26,1.480.229.419,32018.34,3527900,316,308,LUTÉCIA,LUTECIA,DRS 09 Marília
315,MACATUBA,224.514,17214,72.19,15.63,6.245.457.101,36723.03,3528007,317,310,MACATUBA,MACATUBA,DRS 06 Bauru
316,MACAUBAL,248.087,8147,30.88,22.22,2.143.826.452,19121.48,3528106,318,311,MACAUBAL,MACAUBAL,DRS 15 São José do Rio Preto
317,MACEDÔNIA,327.567,3692,11.18,41.67,1.845.217.525,21212.83,3528205,319,312,MACEDÔNIA,MACEDONIA,DRS 15 São José do Rio Preto
318,MAGDA,312.282,3102,10.27,31.25,2.081.579.342,29834.29,3528304,320,313,MAGDA,MAGDA,DRS 15 São José do Rio Preto
319,MAIRINQUE,210.149,47441,205.53,11.90,15.435.679.392,40484.94,3528403,321,314,MAIRINQUE,MAIRINQUE,DRS 16 Sorocaba
320,MAIRIPORÃ,320.697,101937,252.44,8.77,21.709.097.814,17774.55,3528502,322,315,MAIRIPORÃ,MAIRIPORA,DRS 01 Grande São Paulo
321,MANDURI,229.046,9910,39.26,9.17,2.411.031.096,23378.18,3528601,323,316,MANDURI,MANDURI,DRS 06 Bauru
322,MARABÁ PAULISTA,919.519,5948,5.24,52.63,1.885.370.276,17644.51,3528700,324,317,MARABÁ PAULISTA,MARABA PAULISTA,DRS 11 Presidente Prudente
323,MARACAÍ,533.498,14036,24.97,18.87,4.304.932.467,29529.19,3528809,325,318,MARACAÍ,MARACAI,DRS 09 Marília
324,MARAPOAMA,111.267,3064,23.66,30.30,1.547.483.459,59882.84,3528858,326,319,MARAPOAMA,MARAPOAMA,DRS 15 São José do Rio Preto
325,MARIÁPOLIS,186.544,4091,21.07,26.32,1.339.774.638,13926.03,3528908,327,321,MARIÁPOLIS,MARIAPOLIS,DRS 09 Marília
326,MARÍLIA,1.170.515,240590,185.21,9.55,78.334.044.246,34083.86,3529005,328,323,MARÍLIA,MARILIA,DRS 09 Marília
327,MARINÓPOLIS,77.827,2106,27.15,41.67,119.916.459,16405.82,3529104,329,320,MARINÓPOLIS,MARINOPOLIS,DRS 15 São José do Rio Preto
328,MARTINÓPOLIS,1.253.564,26628,19.33,18.52,6.977.048.191,18871.02,3529203,330,322,MARTINÓPOLIS,MARTINOPOLIS,DRS 11 Presidente Prudente
329,MATÃO,524.899,83626,146.3,7.90,22.280.023.445,50228.39,3529302,331,324,MATÃO,MATAO,DRS 03 Araraquara
330,MAUÁ,61.909,477552,6741.41,09.08,91.100.489.057,32655.23,3529401,332,325,MAUÁ,MAUA,DRS 01 Grande São Paulo
331,MENDONÇA,195.151,5565,23.79,15.15,2.655.865.451,43139.21,3529500,333,326,MENDONÇA,MENDONCA,DRS 15 São José do Rio Preto
332,MERIDIANO,228.199,3824,16.82,20.00,2.183.625.388,62670.64,3529609,334,327,MERIDIANO,MERIDIANO,DRS 15 São José do Rio Preto
